Date,Open,High,Low,Close,Adj Close,Volume,Mean,Max,Min
2022-01-03,338.29998779296875,341.0799865722656,337.19000244140625,338.5400085449219,338.5400085449219,14537900,-0.0703,0.5106,-0.4404
2022-01-04,339.95001220703125,343.0899963378906,331.8699951171875,336.5299987792969,336.5299987792969,15998000,0.0,0.0,0.0
2022-01-05,333.0199890136719,335.760009765625,323.8399963378906,324.1700134277344,324.1700134277344,20564500,-0.0782,0.4215,-0.5574
2022-01-06,322.82000732421875,339.1700134277344,322.7200012207031,332.4599914550781,332.4599914550781,27962800,-0.1554,0.3818,-0.7579
2022-01-07,332.739990234375,337.0,328.8800048828125,331.7900085449219,331.7900085449219,14722000,-0.2415,0.4215,-0.765
2022-01-10,325.3099975585937,328.3399963378906,315.42999267578125,328.07000732421875,328.07000732421875,24942400,-0.0283,0.3818,-0.3182
2022-01-11,326.7799987792969,334.6300048828125,325.2799987792969,334.3699951171875,334.3699951171875,16226800,-0.0525,0.3612,-0.6597
2022-01-12,335.17999267578125,336.3699951171875,330.0299987792969,333.260009765625,333.260009765625,14104900,-0.0275,0.6369,-0.34
2022-01-13,334.9800109863281,335.6300048828125,325.760009765625,326.4800109863281,326.4800109863281,14797100,0.0,0.0,0.0
2022-01-14,321.7900085449219,332.7300109863281,321.2099914550781,331.8999938964844,331.8999938964844,16868500,-0.0865,0.4939,-0.5574
2022-01-18,323.2900085449219,324.2099914550781,317.6400146484375,318.1499938964844,318.1499938964844,22645600,0.1566,0.6369,-0.34
2022-01-19,319.5799865722656,327.1000061035156,319.3299865722656,319.5899963378906,319.5899963378906,20814700,0.1268,0.6369,-0.2263
2022-01-20,323.8999938964844,327.82000732421875,315.9800109863281,316.5599975585937,316.5599975585937,16925000,-0.0455,0.2263,-0.4404
2022-01-21,314.8099975585937,318.3099975585937,303.0400085449219,303.1700134277344,303.1700134277344,28710700,-0.275,0.1027,-0.6705
2022-01-24,297.8399963378906,309.5299987792969,289.010009765625,308.7099914550781,308.7099914550781,38878100,0.1199,0.5994,0.0
2022-01-25,299.95001220703125,306.2300109863281,297.5799865722656,300.1499938964844,300.1499938964844,25108500,0.0856,0.5994,0.0
2022-01-26,307.010009765625,307.510009765625,290.8500061035156,294.6300048828125,294.6300048828125,28348800,-0.0256,0.4019,-0.7096
2022-01-27,297.75,301.7099914550781,294.260009765625,294.6400146484375,294.6400146484375,21629900,0.0856,0.4215,-0.2057
